model,vendor,vendorDate,copilotDate,stage,lagDays,vendorUrl,changelogUrl,note
GPT-5-Codex,OpenAI,2025-09-15,2025-09-23,preview,8,https://openai.com/index/introducing-upgrades-to-codex/,https://github.blog/changelog/2025-09-23-openai-gpt-5-codex-is-rolling-out-in-public-preview-for-github-copilot,
Claude Sonnet 4.5,Anthropic,2025-09-29,2025-09-29,preview,0,https://www.anthropic.com/news/claude-sonnet-4-5,https://github.blog/changelog/2025-09-29-anthropic-claude-sonnet-4-5-is-in-public-preview-for-github-copilot,
Claude Haiku 4.5,Anthropic,2025-10-15,2025-10-15,preview,0,https://www.anthropic.com/news/claude-haiku-4-5,https://github.blog/changelog/2025-10-15-anthropics-claude-haiku-4-5-is-in-public-preview-for-github-copilot,
GPT-5.1 / Codex,OpenAI,2025-11-12,2025-11-13,preview,1,https://openai.com/index/gpt-5-1/,https://github.blog/changelog/2025-11-13-openais-gpt-5-1-gpt-5-1-codex-and-gpt-5-1-codex-mini-are-now-in-public-preview-for-github-copilot,
Gemini 3 Pro,Google,2025-11-18,2025-11-18,preview,0,https://blog.google/products-and-platforms/products/gemini/gemini-3/,https://github.blog/changelog/2025-11-18-gemini-3-pro-is-in-public-preview-for-github-copilot,
GPT-5.1-Codex-Max,OpenAI,2025-11-19,2025-12-04,preview,15,https://openai.com/index/gpt-5-1-codex-max/,https://github.blog/changelog/2025-12-04-openais-gpt-5-1-codex-max-is-now-in-public-preview-for-github-copilot,
Claude Opus 4.5,Anthropic,2025-11-24,2025-11-24,preview,0,https://www.anthropic.com/news/claude-opus-4-5,https://github.blog/changelog/2025-11-24-claude-opus-4-5-is-in-public-preview-for-github-copilot,
GPT-5.2,OpenAI,2025-12-11,2025-12-11,preview,0,https://openai.com/index/introducing-gpt-5-2/,https://github.blog/changelog/2025-12-11-openais-gpt-5-2-is-now-in-public-preview-for-github-copilot,
Gemini 3 Flash,Google,2025-12-17,2025-12-17,preview,0,https://blog.google/products-and-platforms/products/search/google-ai-mode-update-gemini-3-flash/,https://github.blog/changelog/2025-12-17-gemini-3-flash-is-now-in-public-preview-for-github-copilot,
GPT-5.2-Codex,OpenAI,2025-12-18,2026-01-14,GA,27,https://openai.com/index/introducing-gpt-5-2-codex/,https://github.blog/changelog/2026-01-14-gpt-5-2-codex-is-now-generally-available-in-github-copilot,
Claude Opus 4.6,Anthropic,2026-02-05,2026-02-05,GA,0,https://www.anthropic.com/news/claude-opus-4-6,https://github.blog/changelog/2026-02-05-claude-opus-4-6-is-now-generally-available-for-github-copilot,
GPT-5.3-Codex,OpenAI,2026-02-05,2026-02-09,GA,4,https://openai.com/index/introducing-gpt-5-3-codex/,https://github.blog/changelog/2026-02-09-gpt-5-3-codex-is-now-generally-available-for-github-copilot,
Claude Sonnet 4.6,Anthropic,2026-02-17,2026-02-17,GA,0,https://www.anthropic.com/news/claude-sonnet-4-6,https://github.blog/changelog/2026-02-17-claude-sonnet-4-6-is-now-generally-available-in-github-copilot,
Gemini 3.1 Pro,Google,2026-02-19,2026-02-19,preview,0,https://deepmind.google/models/gemini/pro/,https://github.blog/changelog/2026-02-19-gemini-3-1-pro-is-now-in-public-preview-in-github-copilot,
GPT-5.4,OpenAI,2026-03-05,2026-03-05,GA,0,https://openai.com/index/introducing-gpt-5-4/,https://github.blog/changelog/2026-03-05-gpt-5-4-is-generally-available-in-github-copilot,
GPT-5.4 mini,OpenAI,2026-03-17,2026-03-17,GA,0,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,https://github.blog/changelog/2026-03-17-gpt-5-4-mini-is-now-generally-available-for-github-copilot,
Claude Opus 4.7,Anthropic,2026-04-16,2026-04-16,GA,0,https://www.anthropic.com/news/claude-opus-4-7,https://github.blog/changelog/2026-04-16-claude-opus-4-7-is-generally-available,
GPT-5.5,OpenAI,2026-04-23,2026-04-24,GA,1,https://openai.com/index/introducing-gpt-5-5/,https://github.blog/changelog/2026-04-24-gpt-5-5-is-generally-available-for-github-copilot,
Gemini 3.5 Flash,Google,2026-05-19,2026-05-19,GA,0,https://blog.google/innovation-and-ai/products/google-io-2026/,https://github.blog/changelog/2026-05-19-gemini-3-5-flash-is-generally-available-for-github-copilot,
Claude Opus 4.8,Anthropic,2026-05-28,2026-05-28,GA,0,https://www.anthropic.com/news/claude-opus-4-8,https://github.blog/changelog/2026-05-28-claude-opus-4-8-is-generally-available-for-github-copilot,
MAI-Code-1-Flash,Microsoft AI,2026-06-02,2026-06-02,GA,0,https://microsoft.ai/news/introducingmai-code-1-flash/,https://github.blog/changelog/2026-06-02-mai-code-1-flash-is-now-available-for-github-copilot,
Claude Fable 5,Anthropic,2026-06-09,2026-06-09,GA,0,https://www.anthropic.com/news/claude-fable-5-mythos-5,https://github.blog/changelog/2026-06-09-claude-fable-5-is-generally-available-for-github-copilot,
Kimi K2.7 Code,Moonshot AI,2026-06-12,2026-07-01,GA,19,https://moonshotai.github.io/,https://github.blog/changelog/2026-07-01-kimi-k2-7-is-now-available-in-github-copilot,Vendor date corroborated by third-party coverage only.
Claude Sonnet 5,Anthropic,2026-06-30,2026-06-30,GA,0,https://www.anthropic.com/news/claude-sonnet-5,https://github.blog/changelog/2026-06-30-claude-sonnet-5-is-generally-available-for-github-copilot,
GPT-5.6 Sol/Terra/Luna,OpenAI,2026-07-09,2026-07-09,GA,0,https://openai.com/index/introducing-gpt-5-6/,https://github.blog/changelog/2026-07-09-openais-gpt-5-6-sol-terra-and-luna-are-now-available-in-github-copilot,A partner preview was available from 2026-06-26; the GA date is used here.
Grok 4.5,xAI,2026-07-16,2026-07-28,GA,12,https://x.ai/news/grok-4-5,https://github.blog/changelog/2026-07-28-grok-4-5-is-now-available-in-github-copilot,API access may have preceded the public announcement.
Kimi K3,Moonshot AI,2026-07-16,2026-08-06,GA,21,https://moonshotai.github.io/,https://github.blog/changelog/2026-08-06-kimi-k3-is-now-available-in-github-copilot,
Gemini 3.6 Flash,Google,2026-07-21,2026-07-21,GA,0,https://ai.google.dev/gemini-api/docs/changelog,https://github.blog/changelog/2026-07-21-gemini-3-6-flash-is-now-available-in-github-copilot,
Claude Opus 5,Anthropic,2026-07-24,2026-07-24,GA,0,https://www.anthropic.com/news/claude-opus-5,https://github.blog/changelog/2026-07-24-claude-opus-5-is-now-available-in-github-copilot,
MAI-Code-1.1-Flash,Microsoft AI,2026-08-11,2026-08-11,GA,0,https://microsoft.ai/news/mai-code-1-1-flash-br-better-faster-at-a-quarter-of-the-cost/,https://github.blog/changelog/2026-08-11-mai-code-1-1-flash-available-in-github-copilot,
Grok 4.6,xAI,2026-08-12,2026-08-14,GA,2,https://x.ai/news/grok-4-6,https://github.blog/changelog/2026-08-14-grok-4-6-is-now-available-in-github-copilot,
Gemini 3.7 Flash,Google,2026-08-13,2026-08-13,GA,0,https://deepmind.google/models/gemini/flash/,https://github.blog/changelog/2026-08-13-gemini-3-7-flash-is-now-available-in-github-copilot,
